id,author,author_details,content,created_at,iso_639_1,media_id,media_title,media_type,updated_at,url
5dc393138d22fc00123d43d8,BradleyStewart,"{'name': 'BradleyStewart', 'username': 'BradleyStewart', 'avatar_path': '/orXNhkMKAAHKVhIKS3DD8I6jnxd.jpg', 'rating': None}","Sadly, I didn't enjoy this one as much as I did with the first ""Avengers"" movies.",2019-11-07T03:44:19.985Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:28.684Z,https://www.themoviedb.org/review/5dc393138d22fc00123d43d8
5dc399489d89390015350e9e,Jane Hall,"{'name': 'Jane Hall', 'username': 'JaneHall', 'avatar_path': '/jJy4oZdlQp1BkqaEiWlCeBzPxDV.jpg', 'rating': None}","Honestly, it felt like it was too much of a set-up for me. Having Antman isolated in the Quantum realm was just too convenient and it felt like Marvel was just looking for a foundation for the script they had for this movie that wasn't even as good as the previous ones.",2019-11-07T04:10:48.762Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:28.726Z,https://www.themoviedb.org/review/5dc399489d89390015350e9e
5dc56e676f8d950010c2e33d,JessieCollins,"{'name': 'JessieCollins', 'username': 'JessieCollins', 'avatar_path': '/gW1joveFfv736XrPgXOSpNgj8ju.jpg', 'rating': None}","Needed more Dr. Strange action! Felt like the final fight scene with Thanos could've been choreographed a lot better especially when you have a magic caster who could dish out different spells like Dr. Strange. But alas, he was instead given the duty of holding off the impending doom from crashing down on his team.",2019-11-08T13:32:23.252Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:28.777Z,https://www.themoviedb.org/review/5dc56e676f8d950010c2e33d
5dc579d59c24fc0018bebb24,John Smith,"{'name': 'John Smith', 'username': '1JohnSmith1', 'avatar_path': '/3pdg3XNVdCkOs17PrCXnDxpmNyp.jpg', 'rating': None}",Not a big fan of the ending. But I guess when you have only 0.000000000001% chance of winning you can't expect it to be the best ending there is.,2019-11-08T14:21:09.928Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:28.812Z,https://www.themoviedb.org/review/5dc579d59c24fc0018bebb24
5de2a4e33faba000130a8805,gwengww,"{'name': '', 'username': 'gwengww', 'avatar_path': None, 'rating': 4.0}","First of all, good popcorn movie, if you are hardcore fan of marvel or visual effect in general, this is a movie for you. 

However, it is clear that imagination of Marvel studio keeps deteriorating. The process and ending is clear about 10% into the movie. Zero development of character. Amateur plot twist. All cliche and low class humor. It is 21st century and they still cling on adult fairy tale and plain visual stimulation. The whole purpose is to let fans know what happens to the character. Good business investment but great shame to the art of movie industry. It is a blatant exploitation of grandpa IP with zero innovation. 

Hero fantasy lived in half a century ago. Time to learn from modern Japanese manga and anime (I am not talking about One Piece or Naruto). Stop stitching up individuals from different background and call it a universe, it's laughable at best.",2019-11-30T17:20:35.974Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:29.474Z,https://www.themoviedb.org/review/5de2a4e33faba000130a8805
5e00e904d1a89300148c8561,Justin Lopez,"{'name': 'Justin Lopez', 'username': 'ShawnSmith', 'avatar_path': '/5zwo9rNpYTQxPFxXJeYHxEw86SC.jpg', 'rating': None}","The amazing fight scenes and CGI aren’t enough to mask the fact that the overall plot of going back in time to change reality is just plain stupid and lazy - and this is addressed to the writers. I did know that there was gonna be some time travel involved, but the way Marvel explained and executed it didn't too well for me. They can't get away with just putting it all in ""Quantum.”",2019-12-23T16:19:16.912Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:30.406Z,https://www.themoviedb.org/review/5e00e904d1a89300148c8561
5e00ee5f65686e0015977731,1RobertJohnson1,"{'name': '', 'username': '1RobertJohnson1', 'avatar_path': None, 'rating': None}","Great ending but I still can't get over the fact that the writers had to kill my all-time favorite Avenger, Iron Man. Still, it was a sacrifice that must be taken for the greater good. I love the movie!",2019-12-23T16:42:07.364Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:30.422Z,https://www.themoviedb.org/review/5e00ee5f65686e0015977731
5e010230d1a89300198cee67,MichaelWilliams,"{'name': '', 'username': 'MichaelWilliams', 'avatar_path': None, 'rating': None}","I kind of expected Tony Stark to be the one to take the fall but what caught me off guard was Cap's decision to return to his original timeline. Man, I can take losing one main Avenger but two? It was just heartbreaking.",2019-12-23T18:06:40.837Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:30.464Z,https://www.themoviedb.org/review/5e010230d1a89300198cee67
5e011acd65686e001398cfc5,WilliamJones,"{'name': '', 'username': 'WilliamJones', 'avatar_path': None, 'rating': None}",That final fight with Thanos was epic! Great idea by the writers to have everybody be teleported back when Cap needed them the most. Officially the greatest superhero movie of all time!,2019-12-23T19:51:41.971Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:30.504Z,https://www.themoviedb.org/review/5e011acd65686e001398cfc5
5e0286340284200016b21b19,DavidBrown1,"{'name': '', 'username': 'DavidBrown1', 'avatar_path': None, 'rating': None}","With all the hype surrounding this film before its release, it was hard not to have high expectations once it finally went out.I myself am one of those people. Fortunately, it did pretty well and didn't disappoint. To me, it would've been better if all their time traveling somehow created ripple effects in the present to make it more realistic but I guess you can only fit so much content in a film.",2019-12-24T21:42:12.630Z,en,299534,Avengers: Endgame,movie,2021-06-23T15:58:30.587Z,https://www.themoviedb.org/review/5e0286340284200016b21b19
